msgid,rus,en
After: 1 d 2 h 3 m 10 s,,After: 1 d 2 h 3 m 10 s
You think I am a loser because of the rabbit suit? But what about your guns without upgrades?,,You think I am a loser because of the rabbit suit? But what about your guns without upgrades?
The axis-angle rotation to be applied to the mesh particle.,,The axis-angle rotation to be applied to the mesh particle.
Golden max upgrade tag is not found on these guns. Make upgrades asap.,"Отметка ""МАКС. АПГРЕЙД"" не найдена на этих оружиях. Произведите улучшения немедленно.",Golden max upgrade tag is not found on these guns. Make upgrades asap.
Weap Items,,Weap Items
JUST TRY.,ПРОСТО ПОПРОБУЙ,JUST TRY.
Weapon Control,,Weapon Control
"Pack path: {path}
Pack mounted: {result}",,"Pack path: {path}
Pack mounted: {result}"
VIEW,,VIEW
SHOW THEM WHAT YOU'RE MADE OF WITH PAN GUN!,"ПОКАЖИ ВСЕМ, НА ЧТО ТЫ СПОСОБЕН ВМЕСТЕ С PAN GUN!",SHOW THEM WHAT YOU'RE MADE OF WITH PAN GUN!
Kill {0} enemies with any shotgun,Убейте {0} врагов с помощью любого дробовика,Kill {0} enemies with any shotgun
Linked Accounts,,Linked Accounts
RECONNECTING,ПЕРЕПОДКЛЮЧЕНИЕ,RECONNECTING
Weapon Items,,Weapon Items
PING,ПИНГ,PING
Facebook,FACEBOOK,Facebook
Gunslinger,,Gunslinger
PREMIUM ACCOUNT AFTER TUTORIAL,ПРЕМИУМ-АККАУНТ ПОСЛЕ ТУТОРИАЛА,PREMIUM ACCOUNT AFTER TUTORIAL
AVATARS,АВАТАРКИ,AVATARS
Exploding Shuriken,,Exploding Shuriken
CUSTOM LAYOUT,СВОЯ РАСКЛАДКА,CUSTOM LAYOUT
Choosing hats,ВЫБИРАЕМ ШЛЯПЫ...,Choosing hats
BATTLE  ROYALE GUN BALL,,BATTLE  ROYALE GUN BALL
Crafting banana bomb...,СОЗДАЁМ БАНАН-БОМБУ,Crafting banana bomb...
High,СИЛЬНАЯ,High
Butt,,Butt
Mime,МИМ,Mime
CHECKING FILES,ПРОВЕРКА ФАЙЛОВ ИГРЫ,CHECKING FILES
"Look at the golden max upgrade tag on the gun. I don't know why, but I like it!","Посмотри на ""МАКС. АПГРЕЙД"" на оружии. Я не знаю почему, но она мне нравится!","Look at the golden max upgrade tag on the gun. I don't know why, but I like it!"
Slots Used,,Slots Used
ARMOR,БРОНЯ,ARMOR
Turret,ТУРЕЛЬ,Turret
Incorrect texture Group! MSR in Champions/Jetpack folder should have JetpackMSR texture group,,Incorrect texture Group! MSR in Champions/Jetpack folder should have JetpackMSR texture group
GOLD CHEST,ЗОЛОТОЙ СУНДУК,GOLD CHEST
Pick up {0} grenades,Подберите {0} гранат,Pick up {0} grenades
ENE,,ENE
Burning Skull,ГОРЯЩИЙ ЧЕРЕП,Burning Skull
1.A Title,,1.A Title
MSR texture Validation failed!,,MSR texture Validation failed!
Removing nit-pickers...,УБИРАЕМ ЗАНУД...,Removing nit-pickers...
Interface Volume,ГРОМКОСТЬ ИНТЕРФЕЙСА,Interface Volume
SELECT UPGRADE!,ВЫБЕРИТЕ УЛУЧШЕНИЕ!,SELECT UPGRADE!
El Guapo eating burrito...,ЭЛЬ ГУАПО ЕСТЬ БУРРИТО...,El Guapo eating burrito...
SRGB Not True!,,SRGB Not True!
 ITEMS TO THE COLECTION,ВЕЩЕЙ В КОЛЛЕКЦИЮ, ITEMS TO THE COLECTION
MASTERS,МАСТЕРА,MASTERS
KILLING,УБИЙСТВЕННЫЙ,KILLING
The velocity in cm/s of the particle.,,The velocity in cm/s of the particle.
NE,,NE
SELECT GUN TO UPGRADE,ВЫБЕРИТЕ ОРУЖИЕ ДЛЯ УЛУЧШЕНИЯ,SELECT GUN TO UPGRADE
LEGAL AND PRIVACY,ПРИВАТНОСТЬ,LEGAL AND PRIVACY
CHECKING,ПРОВЕРКА,CHECKING
Gyroscope Camera Sensitivity,ЧУВСТВИТЕЛЬНОСТЬ ГИРОСКОПА КАМЕРЫ,Gyroscope Camera Sensitivity
Starter Bundle Two,,Starter Bundle Two
st,-ЫЙ,st
OUT OF STOCK,РАСПРОДАНО,OUT OF STOCK
Start Price: ,,Start Price: 
Cancel,,Cancel
Drum:,,Drum:
advanced mode,РАСШИРЕННЫЙ РЕЖИМ,advanced mode
"Your version is not latest, please update ASAP","ТЕКУЩАЯ ВЕРСИЯ ИГРЫ УЖЕ НЕАКТУАЛЬНАЯ. ПОЖАЛУЙСТА, ОБНОВИТЕ ИГРУ КАК МОЖНО СКОРЕЕ","Your version is not latest, please update ASAP"
DropVFX,ЭФФЕКТЫ ПАДЕНИЯ,DropVFX
Demo 3 - Spline material animation,,Demo 3 - Spline material animation
AND,И,AND
Eagle getting ready to fly...,ИГЛ ГОТОВИТСЯ ВЗЛЕТАТЬ...,Eagle getting ready to fly...
Weapon Upgrade Pending,,Weapon Upgrade Pending
Gunpowder,,Gunpowder
"ARMOR POWER BANK UPGRADE
AVAILABLE FROM MASTERS LVL ","УЛУЧШЕНИЕ ПОВЕРБАНКА БРОНИ
ДОСТУПНО У МАСТЕРОВ С LV. ","ARMOR POWER BANK UPGRADE
AVAILABLE FROM MASTERS LVL "
RECONNECT,ПЕРЕПОДКЛЮЧАЕМСЯ...,RECONNECT
SetSplineMaterial,,SetSplineMaterial
QUADRO,ЧЕТВЕРТНОЕ,QUADRO
STOP,СТОП,STOP
CHARACTER MOVEMENT GUIDE,РУКОВОДСТВО ПО УПРАВЛЕНИЮ ПЕРСОНАЖЕМ,CHARACTER MOVEMENT GUIDE
Incorrect texture Group! MSR in Champions/Helmets folder should have HelmetMSR texture group,,Incorrect texture Group! MSR in Champions/Helmets folder should have HelmetMSR texture group
Bullet,,Bullet
Converted cascade module ParticleModuleLifetime.,,Converted cascade module ParticleModuleLifetime.
On PSO: {sucess},,On PSO: {sucess}
Y,,Y
CHANGE NAME,ИЗМЕНИТЬ НИКНЕЙМ,CHANGE NAME
Upgrade complete: {state},УЛУЧШЕНИЕ ЗАВЕРШЕНО: {state},Upgrade complete: {state}
Gyroscope Invert Y,ИНВЕРТИРОВАНИЕ ГИРОСКОПА ПО Y,Gyroscope Invert Y
DOWNLOAD PENDING,ЗАГРУЗКА В ОЖИДАНИИ,DOWNLOAD PENDING
Welcome to Energy Specs,,Welcome to Energy Specs
ASSAULT,АВТОМАТ,ASSAULT
PAN BUCKS,PAN-БАКСЫ,PAN BUCKS
Ammo,БОЕЗАПАС,Ammo
Jump {0} times,Прыгните {0} раз,Jump {0} times
Jump,В ПРЫЖКЕ,Jump
super special temporarily button for this dialog skip,,super special temporarily button for this dialog skip
Polishing the guns,ПОЛИРУЕМ ОРУЖИЕ...,Polishing the guns
J-Cat choosing sunglasses...,ДЖЕЙ-КЭТ ВЫБИРАЕТ ОЧКИ...,J-Cat choosing sunglasses...
"Part of this spline is out of the widget region, so it will be culled with error.",,"Part of this spline is out of the widget region, so it will be culled with error."
ROUND {1} WON,РАУНД {1} ВЫИГРАН,ROUND {1} WON
"<WhiteText50>GET IN DAILY REWARDS</>
<WhiteText27>COME PLAY EVERY DAY TO COLLECT </><VioletText27>OFFICER D.O.NUT CARDS</>","<WhiteText50>ПОЛУЙЧАТЕ В ЕЖЕДНЕВНЫХ НАГРАДАХ</>
<WhiteText27>ЗАХОДИТЕ В ИГРУ КАЖДЫЙ ДЕНЬ, ЧТОБЫ СОБРАТЬ </><VioletText27>КАРТОЧКИ ОФИЦЕРА Д.О.НАТА</>","<WhiteText50>GET IN DAILY REWARDS</>
<WhiteText27>COME PLAY EVERY DAY TO COLLECT </><VioletText27>OFFICER D.O.NUT CARDS</>"
Air Strike,УДАР С ВОЗДУХА,Air Strike
"Magnetic Field Demonstration
By Cerise Software",,"Magnetic Field Demonstration
By Cerise Software"
Converted cascade module ParticleModuleSize.,,Converted cascade module ParticleModuleSize.
YOUR PLACE:,ВАШЕ МЕСТО:,YOUR PLACE:
Make 30 kills from any assault rifle,СДЕЛАЙТЕ 30 УБИЙСТВ ИЗ ЛЮБОЙ ШТУРМОВОЙ ВИНТОВКИ,Make 30 kills from any assault rifle
Simple mode,ПРОСТОЙ РЕЖИМ,Simple mode
Color,,Color
Jet Packs Available,,Jet Packs Available
Controlling the volume of menu effects,Регулировка громкости эффектов меню,Controlling the volume of menu effects
Stability,,Stability
SOMETHING WENT WRONG,ЧТО-ТО ПОШЛО НЕ ТАК,SOMETHING WENT WRONG
HAT DOWN,ШЛЯП СБИТО,HAT DOWN
Your version is latest,ТЕКУЩАЯ ВЕРСИЯ ИГРЫ - АКТУАЛЬНАЯ,Your version is latest
Attaching the jetpack trails,ПРИКРЕПЛЯЕМ СЛЕДЫ К ДЖЕТПАКАМ...,Attaching the jetpack trails
ACCOMPLISHED,ДОСТАВЛЕНО,ACCOMPLISHED
GUNS,ОРУЖИЕ,GUNS
Texture MipMap Bias,,Texture MipMap Bias
SKIP,ПРОПУСТИТЬ,SKIP
Status,,Status
IT APPEARS YOU HAVE AN ISSUE,"ОКАЗЫВАЕТСЯ, У ВАС ЕСТЬ ПРОБЛЕМА",IT APPEARS YOU HAVE AN ISSUE
PREMIUM PRREDATOR FOR ,"ПРЕМИУМ ""ХИЩНИК"" НА",PREMIUM PRREDATOR FOR 
Visual Effects Quality,,Visual Effects Quality
Kill {0} enemies with any assault rifle,Убейте {0} врагов с помощью любой штурмовой винтовки,Kill {0} enemies with any assault rifle
Chences are updated after opening each slot,ШАНСЫ ОБНОВЛЯЮТСЯ ПОСЛЕ ОТКРЫТИЯ ОЧЕРЕДНОГО СЛОТА,Chences are updated after opening each slot
"Mobile Platform Demonstration
By Cerise Software",,"Mobile Platform Demonstration
By Cerise Software"
Kill {0} enemies with grenades,Убейте {0} врагов гранатами,Kill {0} enemies with grenades
Spinning the fortune wheel,Вращаем колесо удачи...,Spinning the fortune wheel
{Speed} MB/s,,{Speed} MB/s
Daily Tasks,,Daily Tasks
Camera,КАМЕРА,Camera
YOUR COLLECTION,ТВОЯ КОЛЛЕКЦИЯ,YOUR COLLECTION
RECEIVED,ПОЛУЧЕНО,RECEIVED
"In case of the same number of points, the winner is determined by the best time.",ПРИ ОДИНАКОВОМ КОЛИЧЕСТВЕ ОЧКОВ ПОБЕДИТЕЛЬ ОПРЕДЕЛЯЕТСЯ ПО ЛУЧШЕМУ ВРЕМЕНИ,"In case of the same number of points, the winner is determined by the best time."
GO NEXT UPGRADE,СЛЕДУЮЩЕЕ УЛУЧШЕНИЕ,GO NEXT UPGRADE
..UPGRADING..,УЛУЧШАЕТСЯ,..UPGRADING..
upgrade any 10 master to lvl 5 ,Улушите 10 мастеров до LV. 5,upgrade any 10 master to lvl 5 
Pick up {0} guns,Подберите {0} оружия,Pick up {0} guns
Knight riding to city...,СЭР РОДЕРИК СКАЧЕТ ПО ГОРОДУ...,Knight riding to city...
FIRST PLACE WITH,ПЕРВОЕ МЕСТО С,FIRST PLACE WITH
Test Char Money Grant,,Test Char Money Grant
PRIZE POOL,ПРИЗОВОЙ ФОНД,PRIZE POOL
REMOVAL FAILED,,REMOVAL FAILED
Kill {0} enemies with any LMG,Убейте {0} врагов с помощью любого пулемета,Kill {0} enemies with any LMG
HoundDrones,,HoundDrones
Spawn Rate,,Spawn Rate
Downlod State released for: {name},,Downlod State released for: {name}
Performance,СКОРОСТЬ,Performance
SSE,,SSE
Crafting gun skins...,СОЗДАЕМ СКИНЫ ДЛЯ ОРУЖИЙ...,Crafting gun skins...
Butt:,,Butt:
Draft,,Draft
STORY,ИСТОРИИ,STORY
CONTINUE TO REWARDS,ПЕРЕЙТИ В НАГРАДЫ,CONTINUE TO REWARDS
Misfit streaming PAN GUN...,ФИТОНЯШКА СТРИМИТ PAN GUN...,Misfit streaming PAN GUN...
FPS,FPS,FPS
TUTORIAL,ТУТОРИАЛ,TUTORIAL
Kitchen,КУХНЯ,Kitchen
Z,,Z
Crazy Lelgs,,Crazy Lelgs
Main Weapon Sense,,Main Weapon Sense
Fake News,ФЕЙКОВЫЕ НОВОСТИ,Fake News
TO ENTER THE TOP,ЧТОБЫ ВОЙТИ В ТОП,TO ENTER THE TOP
Add Velocity Global,,Add Velocity Global
Reward Energy,,Reward Energy
RANDOM CHARACTER,СЛУЧАЙНЫЙ МАСТЕР,RANDOM CHARACTER
adjust spline tintcolor,,adjust spline tintcolor
HIDE BUTTON VFX,ЭФФЕКТ СКРЫТИЯ КНОПОК,HIDE BUTTON VFX
"Incorrect material name prefix! Should be M_ , MM_ or PP_",,"Incorrect material name prefix! Should be M_ , MM_ or PP_"
Crab,КРАБ,Crab
Which way is North?,,Which way is North?
Draw Distance,ДИСТАНЦИЯ ПРОРИСОВКИ,Draw Distance
500 PAN COINS,500 PAN-МОНЕТ,500 PAN COINS
Downloading the jumping fun...,ЗАГРУЖАЕМ ВЕСЕЛЫЕ ПРЫЖКИ...,Downloading the jumping fun...
00:00,,00:00
Only fully upgraded guns fit my style.,,Only fully upgraded guns fit my style.
Main Weapon sensitivity,,Main Weapon sensitivity
Crab mine,КРАБ-МИНА,Crab mine
PISTOL,ПИСТОЛЕТ,PISTOL
Default,ПО УМОЛЧАНИЮ,Default
PVP SOLO,PVP В ОДИНОЧКУ,PVP SOLO
DELETE ACCOUNT,УДАЛИТЬ АККАУНТ,DELETE ACCOUNT
INSTANT BOOST TO LEVEL 25,МГНОВЕННОЕ ПОЛУЧЕНИЕ 25 УРОВНЯ,INSTANT BOOST TO LEVEL 25
Frames Per Second lock. Change may affect performance,"Кадры в секунду. Изменение частоты может 
повлиять на производительность",Frames Per Second lock. Change may affect performance
Button-Caption,,Button-Caption
COMING SOON,СКОРО...,COMING SOON
SMG,"ПИСТОЛЕТ-
ПУЛЕМЁТ",SMG
"NOT BAD, I LIKE IT  ","НЕПЛОХО, МНЕ НРАВИТСЯ","NOT BAD, I LIKE IT  "
GET CHIPS,ПОЛУЧИТЬ ФИШКИ,GET CHIPS
Hungry frog,ГОЛОДНАЯ ЛЯГУХА,Hungry frog
Preparing rewards...,ПОДГОТАВЛИВАЕМ НАГРАДЫ...,Preparing rewards...
experience please tap,,experience please tap
Play first game of the day,Сыграйте первую игру дня,Play first game of the day
Mefisto Is the Lord of Luck. You can find mythic Mefisto cards only in the Fortune wheel. Try your luck every day to win Great Rewards!,"МЕФИСТО - ПОВЕЛИТЕЛЬ УДАЧИ!
ВЫ МОЖЕТЕ НАЙТИ КАРТОЧКИ МЕФИСТО ИСКЛЮЧИТЕЛЬНО В РУЛЕТКЕ. ИСПЫТЫВАЙТЕ СВОЮ УДАЧУ КАЖДЫЙ ДЕНЬ, ЧТОБЫ ПОЛУЧАТЬ ОТЛИЧНЫЕ ПРИЗЫ!",Mefisto Is the Lord of Luck. You can find mythic Mefisto cards only in the Fortune wheel. Try your luck every day to win Great Rewards!
COMPLETE DAILY QUESTS,ВЫПОЛНЯЙТЕ ЕЖЕДНЕВНЫЕ ЗАДАНИЯ,COMPLETE DAILY QUESTS
MAKE,СДЕЛАТЬ,MAKE
TRIO,ВТРОЁМ,TRIO
Take Reward,,Take Reward
"Worthy, if you wanna see yourself the winner.",,"Worthy, if you wanna see yourself the winner."
"OK, THANKS","ДА, СПАСИБО!","OK, THANKS"
Need add to DailySettings table!,,Need add to DailySettings table!
"You can find mythic Executor cards only in Jackpot on the battlefield! 
Open more crates to find the hidden jackpot!","ВЫ МОЖЕТЕ НАЙТИ МИФИЧЕСКИЕ КАРТОЧКИ ЭКЗЕКЬЮТОРА ТОЛЬКО В ДЖЕКПОТАХ В МАТЧАХ!
ОТКРЫВАЙТЕ ЯЩИКИ КАК МОЖНО БОЛЬШЕ, ЧТОБЫ НАЙТИ СПРЯТАННЫЙ ДЖЕКПОТ!","You can find mythic Executor cards only in Jackpot on the battlefield! 
Open more crates to find the hidden jackpot!"
Privacy Policy,,Privacy Policy
Mythic Vest,,Mythic Vest
EXPERIENCE!,ОПЫТ!,EXPERIENCE!
PRESS TO SEE,НАЖМИТЕ ДЛЯ ПРОСМОТРА,PRESS TO SEE
"POWER ARMOR UPGRADE
AVAILABLE FROM MASTERS LVL ","УЛУЧШЕНИЕ ФОРС-ЩИТА 
БУДЕТ ДОСТУПНО У МАСТЕРА С LV. ","POWER ARMOR UPGRADE
AVAILABLE FROM MASTERS LVL "
B,,B
Crosshair Style,СТИЛЬ ПРИЦЕЛА,Crosshair Style
Time-Spent,,Time-Spent
Hit,,Hit
ULT CHARGES,ЗАРЯДЫ УЛЬТЫ,ULT CHARGES
OFF,НЕАКТИВНО,OFF
State: Active,,State: Active
RPG,РПГ,RPG
A,A,A
Decorating maps,УКРАШАЕМ КАРТЫ...,Decorating maps
PVE,PVE,PVE
your characters and ,ТВОИХ МАСТЕРОВ И,your characters and 
"AIM AT THE ENEMIES AND TAKE THE
FINGER OFF TO SCORE DOUBLE KILL","ПРИЦЕЛЬТЕСЬ НА ВРАГОВ, 
ОТПУСТИТЕ ПАЛЕЦ, ЧТОБЫ СДЕЛАТЬ ДВОЙНОЕ УБИЙСТВО","AIM AT THE ENEMIES AND TAKE THE
FINGER OFF TO SCORE DOUBLE KILL"
buy any 5 helmets,Купите 5 шлемов,buy any 5 helmets
ULT {TYPE} ,УЛЬТА {TYPE} ,ULT {TYPE} 
Breack Instance Mesh,,Breack Instance Mesh
1. CLICK <YellowText>EXPRESS UPGRADE</> FOR QUICK ONE PART UPGRADE,"1. НАЖМИТЕ НА КНОПКУ <YellowText>БЫСТРОЕ УЛУЧШЕНИЕ,</> ЧТОБЫ МОМЕНТАЛЬНО УЛУЧШИТЬ ОДИН ИЗ ПАРАМЕТРОВ ОРУЖИЯ",1. CLICK <YellowText>EXPRESS UPGRADE</> FOR QUICK ONE PART UPGRADE
Rarity Name,,Rarity Name
Comparing gun upgrades...,СРАВНИВАЕМ УЛУЧШЕНИЕ ДЛЯ ОРУЖИЯ...,Comparing gun upgrades...
EZPilot Showcase,,EZPilot Showcase
Helmets Available,,Helmets Available
No friendly fire! So you can jump into your own explosions without any risk to get any damage.,ВЫ БЕЗ ОПАСКИ МОЖЕТЕ НАХОДИТЬСЯ ПОД СОБСТВЕННЫМИ ВЗРЫВАМИ. У ВАС НЕТ РИСКА ПОЛУЧИТЬ УРОН.,No friendly fire! So you can jump into your own explosions without any risk to get any damage.
Cellular,,Cellular
Reward Deafult,,Reward Deafult
"You're one of the early users and your opinion is the most valuable. 

We spent 3 years to create this game. And we ask you for 3 minutes to leave your feedback.","ВЫ - ОДИН ИЗ ПЕРВЫХ ИГРОКОВ, ЧЬЕ МНЕНИЕ БУДЕТ ОЧЕНЬ ПОЛЕЗНЫМ.

МЫ РАЗРАБАТЫВАЛИ ИГРУ 3 ГОДА. И ПРОСИМ ВАС УДЕЛИТЬ НАМ 3 МИНУТЫ, ЧТОБЫ ОСТАВИТЬ СВОЙ ОТЗЫВ.","You're one of the early users and your opinion is the most valuable. 

We spent 3 years to create this game. And we ask you for 3 minutes to leave your feedback."
"<WhiteText50>INVITE FRIENDS</>
<WhiteText27>WHENYOUR FRIEND GETS NEW LVL, YOU RECEIVE</>
<YellowText27>ZOMBIE CARDS</>","<WhiteText50>ПРИГЛАШАЙТЕ ДРУЗЕЙ</>
<WhiteText27>КОГДА ВАШИ ДРУЗЬЯ ПОЛУЧАТЬ НОВЫЙ УРОВЕНЬ, ВЫ ПОЛУЧИТЕ</>
<YellowText27>КАРТОЧКИ ЗОМБИ</>","<WhiteText50>INVITE FRIENDS</>
<WhiteText27>WHENYOUR FRIEND GETS NEW LVL, YOU RECEIVE</>
<YellowText27>ZOMBIE CARDS</>"
DEAL ,СДЕЛАЙ,DEAL 
Dispersing the clouds...,РАЗГОНЯЕМ ОБЛАКА...,Dispersing the clouds...
upgrade any master to lvl 8 ,Улушите любого мастера до LV. 8,upgrade any master to lvl 8 
BIASVFX,,BIASVFX
Open {0} crates,Откройте {0} ящиков,Open {0} crates
CHARGE,ЗАРЯД,CHARGE
Vibration Headshot,"ВИБРАЦИЯ ПРИ
ПОПАДАНИИ В ГОЛОВУ",Vibration Headshot
TRIPLE,ТРОЙНОЕ,TRIPLE
Thermal Vision,,Thermal Vision
Barrel: 0 -> 1,,Barrel: 0 -> 1
SET,ВЫБРАНО,SET
Pick up common armor,Подберите обычную броню,Pick up common armor
Every gun upgrade feels like a holiday to me!,,Every gun upgrade feels like a holiday to me!
Zoom,ПРИБЛИЖЕНИЕ,Zoom
West,,West
Bullseye,БУЛС-АЙ,Bullseye
EXTRA XP,ДОП. EXP,EXTRA XP
War Angel,АНГЕЛ ВОЙНЫ,War Angel
WEAPON SLOT,ЯЧЕЙКА ДЛЯ ОРУЖИЯ,WEAPON SLOT
{Mode} COLLECTION,{Mode} КОЛЛЕКЦИЯ,{Mode} COLLECTION
Exit,ВЫХОД,Exit
"I am not interested if your guns are not upgraded, partner.",,"I am not interested if your guns are not upgraded, partner."
The Challenge starts every,,The Challenge starts every
DAILY REWARDS,ЕЖЕДНЕВНЫЕ НАГРАДЫ,DAILY REWARDS
Level # 0: Predator,,Level # 0: Predator
NOW!,,NOW!
MANY VICTORIES ,МНОГО ПОБЕД,MANY VICTORIES 
Jet Trails Owned,,Jet Trails Owned
Camera sensivity during vertical aiming,ЧУВСТВИТЕЛЬНОСТЬ КАМЕРЫ ПРИ ВЕРТИКАЛЬНОМ ПРИЦЕЛИВАНИИ,Camera sensivity during vertical aiming
MAX UPGRADE,МАКС. УЛУЧШЕНИЕ,MAX UPGRADE
EnableCameraRotationLag,,EnableCameraRotationLag
RESTART,ЗАНОВО,RESTART
W,,W
OOOPS...,ОЙ-ЁЙ!,OOOPS...
Pending Upgrade,,Pending Upgrade
ONBOARDING QUESTS,ВВОДНЫЕ ЗАДАНИЯ,ONBOARDING QUESTS
"Tips:
Function paramter ""Update Spline"" only need to be checked when you use the spline as a rail. It is used to build distance search index.",,"Tips:
Function paramter ""Update Spline"" only need to be checked when you use the spline as a rail. It is used to build distance search index."
GET PREMIUM,ПОЛУЧИТЬ ПРЕМИУМ,GET PREMIUM
Hit me to change the barrier scale!,,Hit me to change the barrier scale!
PlainHeadshot,,PlainHeadshot
..PLEASE WAIT..,"...ПОЖАЛУЙСТА, ПОДОЖДИТЕ...",..PLEASE WAIT..
Helmets Owned,,Helmets Owned
Low,НИЗКО,Low
Installed Packs count: {count},,Installed Packs count: {count}
J Cat,ДЖЕЙ-КЭТ,J Cat
SELECT A NEW MASTER,ВЫБРАТЬ НОВОГО МАСТЕРА,SELECT A NEW MASTER
CRATE OPEN,ЯЩИКОВ ОТКРЫТО,CRATE OPEN
I NEED YOUR HELP  TO IMPROVE THE GAME,"НАМ НУЖНА ВАША ПОМОЩЬ, ЧТОБЫ УЛУЧШИТЬ ИГРУ",I NEED YOUR HELP  TO IMPROVE THE GAME
Welcome to Money Change,,Welcome to Money Change
J-Cat,ДЖЕЙ-КЭТ,J-Cat
"HELL, YEAH","О, ДА!","HELL, YEAH"
Sence in Sniper Mode,,Sence in Sniper Mode
RANDOM,СЛУЧАЙНО,RANDOM
RECEIVING...,ПОЛУЧЕНИЕ...,RECEIVING...
TODAY,СЕГОДНЯ,TODAY
"<WhiteText50>WIN AT ROULETTE</>
<WhiteText27>TRY YOUR LUCK EVERY DAY TO FIND </><RedText27>MEFISTO CARDS</>
<WhiteText27>ROULETTE IS UPDATED DAILY.</>","<WhiteText50>ВЫИГРАЙТЕ В РУЛЕТКЕ</>
<WhiteText27>ИСПЫТЫВАЙ УДАЧУ КАЖДЫЙ ДЕНЬ, ЧТОБЫ НАЙТИ </><RedText27>КАРТОЧКИ МЕФИСТО</>
<WhiteText27>РУЛЕТКА ОБНОВЛЯЕТСЯ ЕЖЕДНЕВНО.</>","<WhiteText50>WIN AT ROULETTE</>
<WhiteText27>TRY YOUR LUCK EVERY DAY TO FIND </><RedText27>MEFISTO CARDS</>
<WhiteText27>ROULETTE IS UPDATED DAILY.</>"
"<WhiteText50>FIND IN THE JACKPOT CRATE</>
<WhiteText27>OPEN MORE CRATES TO FIND </><RedText27>EXECUTOR CARDS</> <WhiteText27>IN THE </>
<WhiteText27>HIDDEN JACKPOT!</>","<WhiteText50>ИЩИТЕ В ЯЩИКАХ С ДЖЕКПОТОМ</>
<WhiteText27>ОТКРЫВАЙТЕ КАК МОЖНО БОЛЬШЕ ЯЩИКОВ, ЧТОБЫ НАЙТИ </><RedText27>КАРТОЧКИ ЭКЗЕКЬЮТОРА</> <WhiteText27>В </>
<WhiteText27>СПРЯТАННЫХ ЯЩИКАХ</>","<WhiteText50>FIND IN THE JACKPOT CRATE</>
<WhiteText27>OPEN MORE CRATES TO FIND </><RedText27>EXECUTOR CARDS</> <WhiteText27>IN THE </>
<WhiteText27>HIDDEN JACKPOT!</>"
TurnRight,,TurnRight
RandomCard,,RandomCard
"GET CHIPS OR
WATCH ADS","ПОЛУЧИТЬ ФИШКИ ИЛИ
ПОСМОТРЕТЬ РЕКЛАМУ","GET CHIPS OR
WATCH ADS"
SELECT YOUR PREMIUM:,ВЫБЕРИТЕ СВОЙ ПРЕМИУМ-АККАУНТ,SELECT YOUR PREMIUM:
TOP 20,ТОП-20,TOP 20
"THIS WEAPON WILL BE 
AVAILABLE AT LEVEL {Level} ",ЭТО ОРУЖИЕ БУДЕТ ДОСТУПНО С LV. {Level} ,"THIS WEAPON WILL BE 
AVAILABLE AT LEVEL {Level} "
TUTORIAL IS COMPLETED,ТУТОРИАЛ ПРОЙДЕН!,TUTORIAL IS COMPLETED
SCALE,СКАЛИРОВАНИЕ,SCALE
LOCATION: ,ЛОКАЦИЯ:,LOCATION: 
Incorrect texture Group! LP Diffuse in Champions folder should have Character_LP  texture group,,Incorrect texture Group! LP Diffuse in Champions folder should have Character_LP  texture group
EXPERIENCE,ОПЫТ,EXPERIENCE
Gyro&Touch,,Gyro&Touch
Knight,СЭР РОДЕРИК,Knight
TRANSFERING,ПЕРЕМЕЩЕНИЕ,TRANSFERING
Click here to preview layout,,Click here to preview layout
Red,,Red
DAMAGE IN,ВХОДЯЩИЙ УРОН,DAMAGE IN
MuzzleVFX,,MuzzleVFX
CLAIM,ПРИНЯТЬ,CLAIM
Leviathan exploring seabed...,ЛЕВИАФАН ИССЛЕДУЕТ МОРЯ...,Leviathan exploring seabed...
COOLDOWN,ВРЕМЯ ПЕРЕЗАРЯДКИ,COOLDOWN
Nightlife,ЖИВУЩАЯ НОЧЬЮ,Nightlife
no helmet,БЕЗ ШЛЕМА,no helmet
DMG,УРОН,DMG
Executor installing jumping program...,ЭКЗЕКЬЮТОР УСТАНАВЛИВАЕТ ПРОГРАММУ ПРЫЖКОВ...,Executor installing jumping program...
HM: 0,,HM: 0
Open server select dialog,СПИСОК ВЫБОРА СЕРВЕРОВ,Open server select dialog
Grant Char Money,,Grant Char Money
Range short,,Range short
customize,ПЕРСОНАЛИЗАЦИЯ,customize
Square,,Square
PICK UP YOUR ARMOR VEST,ПОДБЕРИТЕ НАЙДЕННЫЙ БРОНЕЖИЛЕТ,PICK UP YOUR ARMOR VEST
Skin Items,,Skin Items
PlayerCharacter,,PlayerCharacter
REWARD:,НАГРАДА:,REWARD:
NEW LVL,НОВЫЙ УРОВЕНЬ!,NEW LVL
Incorerct Compression Setting?,,Incorerct Compression Setting?
MAX {Name},МАКС. {Name},MAX {Name}
MUCH DAMAGE ,ОЧЕНЬ МНОГО УРОНА,MUCH DAMAGE 
 JUMPS,ПРЫЖКОВ, JUMPS
Presentation,,Presentation
Text,,Text
Revision,Ревизия,Revision
Weap-Name,,Weap-Name
Test Boost,,Test Boost
SE,,SE
Headshot multiply,,Headshot multiply
System Location,,System Location
Ragdoll,,Ragdoll
GENERATE YOUR LOOK,СГЕНЕРИРУЙ НОВЫЙ ОБРАЗ,GENERATE YOUR LOOK
